お仕事No.,応募数 合計
2203556553,2.1690737072378656
2203515280,2.2477071163677267
2203546900,2.50294237114666
2203545344,2.319127709913682
2203557987,2.389712822294299
2203511565,2.50294237114666
2203525420,2.1126382901030096
2203494391,1.9139202468665262
2203509988,2.200326846797128
2203554385,2.425739845548052
2203554555,2.117948669407835
2203559938,2.185352309885083
2203546898,2.3365091134953517
2203537199,2.301492768479699
2203509659,2.432924659456187
2203526411,2.0989547477822397
2203558348,2.282255742575497
2203527442,2.175278523178013
2203548920,2.3166315841379674
2203539381,2.0973700794631793
2203548939,2.180839394296176
2203514393,2.1682455107921283
2203540200,1.681927836639235
2203552261,2.184732300361276
2203523737,1.9456846501446603
2203511772,2.152874230294914
2203538462,1.9980903405480388
2203545202,1.850807092527863
2203501746,2.4638518214270486
2203551617,2.158477994008519
2203554360,2.065628846633054
2203467767,2.3676699935036147
2203559180,2.2170010766229247
2203526166,2.3262719708572805
2203495958,1.951985403469879
2203552588,2.2925524205302503
2203546087,2.319127709913682
2203557223,2.25086509085151
2203551388,2.1570392191274466
2203553871,2.144751239531356
2203528893,2.1155356182861214
2203532652,2.2316723462841717
2203558645,2.1642696160951607
2203517850,2.3866492958284407
2203526826,2.3171987092729247
2203557114,1.9401745532192831
2203559887,2.193180562281111
2203536595,2.3676699935036147
2203555803,2.1211285178138657
2203553962,2.150546269335552
2203508238,2.355722133857579
2203550996,2.166608889721408
2203558732,2.200326846797128
2203523111,2.110775666065389
2203542663,1.9346638623499555
2203531347,1.5501602819601596
2203504071,2.1499215430696332
2203548891,2.069097330207175
2203556983,1.5634041587987662
2203526244,1.8784679361587093
2203505822,2.090611916104089
2203555760,2.1740864297942886
2203559881,1.5739807963019736
2203556204,2.1852191990626193
2203522916,2.10287420574827
2203540706,2.3532257325266777
2203535805,2.1919647800145254
2203550569,2.1420454076102176
2203560065,2.1199365071603684
2203554152,2.091928026672795
2203558707,2.1852191990626193
2203536025,2.1687074338088297
2203556657,2.1034527678562576
2203554919,2.109265311233381
2203548209,2.200326846797128
2203559357,2.1362913820309193
2203534402,2.1730609931106972
2203549990,2.1474095493285685
2203556312,2.319695110603826
2203550931,2.1948935216774
2203506584,2.1933361117902805
2203556533,2.1925279481506434
2203554930,1.4816759095759358
2203550201,2.132039707140931
2203557199,2.115182093914265
2203545333,2.200326846797128
2203470445,2.015812447934284
2203552444,1.5739807963019736
2203547445,2.021782044400172
2203554851,1.979174912819098
2203551513,2.282255742575497
2203541013,2.2210576379103606
2203525798,2.145493520715507
2203531242,1.9810820076986362
2203556362,2.1745156489210538
2203539995,2.1133175442559176
2203553418,1.4661612448060022
2203556394,2.0989547477822397
2203536899,2.1296846771951667
2203558980,2.258435228233683
2203520412,2.1570392191274466
2203555115,1.856407442745236
2203559140,2.0235809691078352
2203559289,2.0450399922973403
2203559337,2.066785041188359
2203508914,2.355722133857579
2203537373,2.1266947200900836
2203520321,2.2170010766229247
2203545682,2.0862114446634323
2203535788,2.1923173936056353
2203545476,2.355722133857579
2203531107,2.1562976511460925
2203559834,2.045495363453296
2203555325,1.6874181043690468
2203505337,2.115182093914265
2203554041,2.2170010766229247
2203534249,2.1704203932051187
2203512438,2.0991103360632133
2203549488,2.2004722126348866
2203519812,2.355722133857579
2203537393,2.066785041188359
2203470577,2.050508086009719
2203559873,2.1034527678562576
2203529749,2.1727344184559625
2203555033,2.0925910814075843
2203530605,1.6158500857195581
2203558818,2.1919647800145254
2203552466,1.7284806506497603
2203544503,2.3676699935036147
2203533521,2.1919647800145254
2203510456,2.2847705191860794
2203540838,2.3577027709506866
2203558540,2.0025862411564552
2203548293,2.11719778810772
2203515868,1.6158500857195581
2203558121,1.854275441161527
2203490910,2.3962896825477538
2203515598,2.282255742575497
2203558605,2.355722133857579
2203555034,2.2628434759672316
2203516555,2.282255742575497
2203520581,2.0585522777580767
2203550726,2.355722133857579
2203549224,2.355722133857579
2203560047,2.1260465834496935
2203553869,2.144751239531356
2203530089,1.4890194268199806
2203558998,2.0472277973171353
2203553951,2.066785041188359
2203545409,2.4108272287002808
2203531747,2.3962896825477538
2203551308,2.1864965088752744
2203546600,2.2572194459670976
2203526516,1.624746857133502
2203516192,2.193180562281111
2203505481,2.2115591349397365
2203539342,2.1333736685298224
2203553728,2.260148187629972
2203559708,2.260148187629972
2203559408,2.1948935216774
2203555633,2.132039707140931
2203558672,2.2170010766229247
2203559311,2.066785041188359
2203493732,2.053376835073977
2203521177,2.1101022931663933
2203559072,2.1266947200900836
2203536923,2.2429440706298256
2203544600,2.164209413734812
2203537208,2.181624326474029
2203559431,2.0250389680689356
2203558069,2.110710495791399
2203543492,2.282255742575497
2203528382,2.184732300361276
2203490372,2.090611916104089
2203553404,1.7285973589780352
2203556405,2.0914801590525123
2203557773,2.0725430970155725
2203517069,2.425739845548052
2203558375,1.9688063720063822
2203548832,1.8662989074973917
2203556721,2.1948935216774
2203555367,2.1547763869163035
2203550740,2.105460764097294
2203556805,2.066785041188359
2203558247,2.2115591349397365
2203529373,2.1899822448005204
2203555759,2.012933558854327
2203552507,2.0741090699293947
2203526249,2.164209413734812
2203558978,1.4461320547057164
2203485986,2.083775385158181
2203552678,1.9401745532192831
2203482084,2.2968822352174967
2203557975,1.4857104495398485
2203506122,2.0451854723298166
2203543130,2.112660231776669
2203531125,2.157841419095257
